CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
1, comb, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "1.09079*((1.+(0.180764*x))/(1.+(0.216797*x)))" 
1, comb, down, 1, -2.5, 2.5, 20, 30, 0, 1, "(1.09079*((1.+(0.180764*x))/(1.+(0.216797*x))))-0.14589560031890869" 
1, comb, down, 1, -2.5, 2.5, 30, 50, 0, 1, "(1.09079*((1.+(0.180764*x))/(1.+(0.216797*x))))-0.042189307510852814" 
1, comb, down, 1, -2.5, 2.5, 50, 70, 0, 1, "(1.09079*((1.+(0.180764*x))/(1.+(0.216797*x))))-0.040379554033279419" 
1, comb, down, 1, -2.5, 2.5, 70, 100, 0, 1, "(1.09079*((1.+(0.180764*x))/(1.+(0.216797*x))))-0.038113951683044434" 
1, comb, down, 1, -2.5, 2.5, 100, 140, 0, 1, "(1.09079*((1.+(0.180764*x))/(1.+(0.216797*x))))-0.043118208646774292" 
1, comb, down, 1, -2.5, 2.5, 140, 200, 0, 1, "(1.09079*((1.+(0.180764*x))/(1.+(0.216797*x))))-0.045257844030857086" 
1, comb, down, 1, -2.5, 2.5, 200, 300, 0, 1, "(1.09079*((1.+(0.180764*x))/(1.+(0.216797*x))))-0.10087831318378448" 
1, comb, down, 1, -2.5, 2.5, 300, 600, 0, 1, "(1.09079*((1.+(0.180764*x))/(1.+(0.216797*x))))-0.13596910238265991" 
1, comb, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "(1.09079*((1.+(0.180764*x))/(1.+(0.216797*x))))-0.17518603801727295" 
1, comb, down, 0, -2.5, 2.5, 20, 30, 0, 1, "(1.09079*((1.+(0.180764*x))/(1.+(0.216797*x))))-0.048631865531206131" 
1, comb, down, 0, -2.5, 2.5, 30, 50, 0, 1, "(1.09079*((1.+(0.180764*x))/(1.+(0.216797*x))))-0.014063102193176746" 
1, comb, down, 0, -2.5, 2.5, 50, 70, 0, 1, "(1.09079*((1.+(0.180764*x))/(1.+(0.216797*x))))-0.013459851965308189" 
1, comb, down, 0, -2.5, 2.5, 70, 100, 0, 1, "(1.09079*((1.+(0.180764*x))/(1.+(0.216797*x))))-0.012704650871455669" 
1, comb, down, 0, -2.5, 2.5, 100, 140, 0, 1, "(1.09079*((1.+(0.180764*x))/(1.+(0.216797*x))))-0.014372736215591431" 
1, comb, down, 0, -2.5, 2.5, 140, 200, 0, 1, "(1.09079*((1.+(0.180764*x))/(1.+(0.216797*x))))-0.015085947699844837" 
1, comb, down, 0, -2.5, 2.5, 200, 300, 0, 1, "(1.09079*((1.+(0.180764*x))/(1.+(0.216797*x))))-0.033626105636358261" 
1, comb, down, 0, -2.5, 2.5, 300, 600, 0, 1, "(1.09079*((1.+(0.180764*x))/(1.+(0.216797*x))))-0.045323032885789871" 
1, comb, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "(1.09079*((1.+(0.180764*x))/(1.+(0.216797*x))))-0.058395344763994217" 
1, comb, up, 1, -2.5, 2.5, 20, 30, 0, 1, "(1.09079*((1.+(0.180764*x))/(1.+(0.216797*x))))+0.14589560031890869" 
1, comb, up, 1, -2.5, 2.5, 30, 50, 0, 1, "(1.09079*((1.+(0.180764*x))/(1.+(0.216797*x))))+0.042189307510852814" 
1, comb, up, 1, -2.5, 2.5, 50, 70, 0, 1, "(1.09079*((1.+(0.180764*x))/(1.+(0.216797*x))))+0.040379554033279419" 
1, comb, up, 1, -2.5, 2.5, 70, 100, 0, 1, "(1.09079*((1.+(0.180764*x))/(1.+(0.216797*x))))+0.038113951683044434" 
1, comb, up, 1, -2.5, 2.5, 100, 140, 0, 1, "(1.09079*((1.+(0.180764*x))/(1.+(0.216797*x))))+0.043118208646774292" 
1, comb, up, 1, -2.5, 2.5, 140, 200, 0, 1, "(1.09079*((1.+(0.180764*x))/(1.+(0.216797*x))))+0.045257844030857086" 
1, comb, up, 1, -2.5, 2.5, 200, 300, 0, 1, "(1.09079*((1.+(0.180764*x))/(1.+(0.216797*x))))+0.10087831318378448" 
1, comb, up, 1, -2.5, 2.5, 300, 600, 0, 1, "(1.09079*((1.+(0.180764*x))/(1.+(0.216797*x))))+0.13596910238265991" 
1, comb, up, 1, -2.5, 2.5, 600, 1000, 0, 1, "(1.09079*((1.+(0.180764*x))/(1.+(0.216797*x))))+0.17518603801727295" 
1, comb, up, 0, -2.5, 2.5, 20, 30, 0, 1, "(1.09079*((1.+(0.180764*x))/(1.+(0.216797*x))))+0.048631865531206131" 
1, comb, up, 0, -2.5, 2.5, 30, 50, 0, 1, "(1.09079*((1.+(0.180764*x))/(1.+(0.216797*x))))+0.014063102193176746" 
